,,,,,,
Índice BBVA Inverso X3,"12,80","-11,72","14,20","12,70",24/10/2022,"-62,90"
Índice ITX Inverso X3,"182,30","-8,35","197,60","177,50",24/10/2022,"-6,03"
Índice TEF Inverso X5,"7.944,90","-4,53","8.277,80","7.458,20",24/10/2022,"-17,07"
Índice SAN Inverso X5,"713,10","-12,63","797,50","676,20",24/10/2022,"-81,82"
Índice BBVA Inverso X5,"747,40","-19,17","897,20","730,70",24/10/2022,"-89,39"
Índice ITX Inverso X5,"554,70","-13,91","637,10","528,70",24/10/2022,"-42,10"
,,,,,,
IBEX 35®,"7.794,90","1,49","7.803,60","7.675,20",25/10/2022,"-10,55"
IBEX 35® con Dividendos,"24.756,90","1,49","24.784,50","24.376,70",25/10/2022,"-7,89"
IBEX MEDIUM CAP®,"12.523,40","0,63","12.540,20","12.383,10",25/10/2022,"-9,35"
IBEX SMALL CAP®,"6.653,70","1,06","6.658,90","6.578,30",25/10/2022,"-19,27"
IBEX 35® Bancos,"500,50","0,50","506,00","492,60",25/10/2022,"8,10"
IBEX 35® Energía,"1.301,80","1,06","1.306,20","1.284,90",25/10/2022,"-3,54"
IBEX 35® Construcción,"1.548,90","2,21","1.548,90","1.516,80",25/10/2022,"-2,96"
IBEX Gender Equality,"7.729,80","0,64","7.736,40","7.658,80",25/10/2022,"-11,26"
IBEX Gender Equality Total Return,"8.787,10","0,64","8.794,60","8.706,40",25/10/2022,"-9,26"
IBEX Gender Equality Net Return,"8.580,80","0,64","8.588,10","8.502,00",25/10/2022,"-9,63"
IBEX TOP Dividendo®,"2.386,60","0,70","2.387,00","2.361,70",25/10/2022,"-4,49"
IBEX 35® con Dividendos Netos,"20.580,70","1,49","20.603,60","20.264,60",25/10/2022,"-8,39"
IBEX 35® Inverso,"2.292,10","-1,49","2.328,40","2.289,50",25/10/2022,"4,77"
IBEX 35® Doble Inverso,"251,20","-2,97","259,30","250,60",25/10/2022,"5,72"
IBEX 35® Inverso X3,"9.870,30","-4,46","10.353,40","9.835,20",25/10/2022,"3,23"
IBEX 35® Inverso X5,"857,30","-7,44","929,50","852,10",25/10/2022,"-11,93"
IBEX 35® Inverso X10,"5.486,60","-14,87","6.491,20","5.413,70",25/10/2022,"46,15"
IBEX 35® Doble Apalancado,"3.060,70","2,98","3.067,40","2.968,00",25/10/2022,"-22,89"
IBEX 35® Doble Apalancado Bruto,"15.487,70","2,98","15.521,70","15.018,80",25/10/2022,"-18,22"
IBEX 35® Doble Apalancado Neto,"12.707,10","2,98","12.734,90","12.322,40",25/10/2022,"-19,12"
IBEX 35® Apalancado X3,"343,10","4,48","344,20","327,70",25/10/2022,"-35,77"
IBEX 35® Apalancado Neto X3,"4.435,20","4,46","4.449,60","4.236,70",25/10/2022,"-31,11"
IBEX 35® Apalancado Neto X5,"148,00","7,40","148,80","137,30",25/10/2022,"-55,15"
IBEX 35® Apalancado Neto X10,"16.466,60","14,87","16.628,50","14.232,10",25/10/2022,"741,24"
IBEX 35® Capped Net Return,"20.637,00","1,49","20.660,00","20.320,10",25/10/2022,"-8,39"
IBEX 35® Impacto Div,"249,50",- ,"249,50","249,50",25/10/2022,- 
IBEX 35® Volatilidad Objetivo 10% Estándar,"167,90","0,78","168,00","166,50",25/10/2022,"-5,83"
IBEX 35® Volatilidad Objetivo 12% Estándar,"171,90","0,94","172,00","170,20",25/10/2022,"-6,63"
IBEX 35® Volatilidad Objetivo 15% Estándar,"171,60","1,18","171,70","169,50",25/10/2022,"-8,77"
IBEX 35® Volatilidad Objetivo 18% Estándar,"167,20","1,39","167,40","164,80",25/10/2022,"-10,54"
IBEX 35® Volatilidad Objetivo 10% Financiado,"120,90","0,75","121,00","120,00",25/10/2022,"-6,13"
IBEX 35® Volatilidad Objetivo 12% Financiado,"122,70","0,90","122,80","121,50",25/10/2022,"-7,12"
IBEX 35® Volatilidad Objetivo 15% Financiado,"125,20","1,13","125,30","123,70",25/10/2022,"-8,68"
IBEX 35® Volatilidad Objetivo 18% Financiado,"117,20","1,38","117,30","115,50",25/10/2022,"-10,47"
VIBEX®,"22,47","-0,84","22,47","22,47",24/10/2022,"28,47"
